#,No.,Name,Laps,Lead,Lap Tm,Spd,Elapsed Tm,Passing Tm,Hits,Strength,Noise,Photocell Time,Transponder,Backup Tx,Backup Passing Tm,Class
1,,Green Flag,,,,,0,10:01:56.779,,,,,,,,
2,40,Alexander Kamminga 40,0,0,,0,4578,10:02:01.357,61,152,25,,SW-51561,0,,M
3,4,Jan van Steeg 4,0,0,,0,5184,10:02:01.963,66,146,25,,RG-75621,0,,M
4,28,Ymte Sijbrandij 28,0,0,,0,6259,10:02:03.038,67,152,25,,FL-59825,0,,M
5,2,Jan Kranczoch 2,0,0,,0,6901,10:02:03.680,67,161,26,,RF-87962,0,,M
6,7,Swannette Tempelman 7,0,0,,0,7616,10:02:04.395,73,187,26,,HL-85304,0,,F
7,30,Bo Gustavsson 30,0,0,,0,7651,10:02:04.430,72,118,26,,CK-85561,0,,M
8,24,Peter Coppens 24,0,0,,0,8171,10:02:04.950,62,136,26,,FL-79890,0,,M
9,12,Nici Walde 12,0,0,,0,8202,10:02:04.981,66,133,26,,RS-39204,0,,F
10,35,Maarten Sijbrandij 35,0,0,,0,8678,10:02:05.457,63,189,26,,FX-12737,0,,M
11,6,Bernhard Böhler 6,0,0,,0,9121,10:02:05.900,57,219,26,,TH-71610,0,,M
12,1,Christian Winkgen 1,0,0,,0,10696,10:02:07.475,57,170,26,,FR-20127,0,,M
13,41,Hanno Habighorst 41,0,0,,0,10745,10:02:07.524,67,99,26,,FL-67553,0,,M
14,13,Daniel Fenn 13,0,0,,0,13810,10:02:10.589,70,169,26,,RS-44911,0,,M
15,28,Ymte Sijbrandij 28,1,1,3:07.535,48,3:13.794,10:05:10.573,46,148,26,,FL-59825,0,,M
16,24,Peter Coppens 24,1,1,3:19.830,45,3:28.001,10:05:24.780,38,124,25,,FL-79890,0,,M
17,12,Nici Walde 12,1,1,3:22.215,"44,5",3:30.417,10:05:27.196,50,124,24,,RS-39204,0,,F
18,41,Hanno Habighorst 41,1,1,3:20.984,"44,8",3:31.729,10:05:28.508,40,105,24,,FL-67553,0,,M
19,13,Daniel Fenn 13,1,1,3:18.896,"45,2",3:32.706,10:05:29.485,47,170,24,,RS-44911,0,,M
20,30,Bo Gustavsson 30,1,1,3:25.488,"43,8",3:33.139,10:05:29.918,55,117,24,,CK-85561,0,,M
21,1,Christian Winkgen 1,1,1,3:24.227,"44,1",3:34.923,10:05:31.702,26,165,25,,FR-20127,0,,M
22,7,Swannette Tempelman 7,1,1,3:29.042,"43,1",3:36.658,10:05:33.437,53,172,25,,HL-85304,0,,F
23,6,Bernhard Böhler 6,1,1,3:28.719,"43,1",3:37.840,10:05:34.619,37,213,25,,TH-71610,0,,M
24,35,Maarten Sijbrandij 35,1,1,3:42.564,"40,4",3:51.242,10:05:48.021,50,187,26,,FX-12737,0,,M
25,40,Alexander Kamminga 40,1,1,3:47.767,"39,5",3:52.345,10:05:49.124,50,150,26,,SW-51561,0,,M
26,4,Jan van Steeg 4,1,1,3:47.373,"39,6",3:52.557,10:05:49.336,50,148,26,,RG-75621,0,,M
27,2,Jan Kranczoch 2,1,1,4:12.128,"35,7",4:19.029,10:06:15.808,52,154,25,,RF-87962,0,,M
28,28,Ymte Sijbrandij 28,2,2,2:54.759,"51,5",6:08.553,10:08:05.332,44,146,25,,FL-59825,0,,M
29,13,Daniel Fenn 13,2,2,2:48.766,"53,3",6:21.472,10:08:18.251,47,164,25,,RS-44911,0,,M
30,41,Hanno Habighorst 41,2,2,2:50.694,"52,7",6:22.423,10:08:19.202,49,108,25,,FL-67553,0,,M
31,12,Nici Walde 12,2,2,2:57.291,"50,8",6:27.708,10:08:24.487,51,124,24,,RS-39204,0,,F
32,30,Bo Gustavsson 30,2,2,2:56.473,51,6:29.612,10:08:26.391,51,123,24,,CK-85561,0,,M
33,24,Peter Coppens 24,2,2,3:04.153,"48,9",6:32.154,10:08:28.933,45,129,24,,FL-79890,0,,M
34,1,Christian Winkgen 1,2,2,3:03.064,"49,2",6:37.987,10:08:34.766,35,161,28,,FR-20127,0,,M
35,6,Bernhard Böhler 6,2,2,3:01.649,"49,5",6:39.489,10:08:36.268,38,213,28,,TH-71610,0,,M
36,7,Swannette Tempelman 7,2,2,3:20.011,45,6:56.669,10:08:53.448,54,172,23,,HL-85304,0,,F
